Geographic Area Name,Zone,No vehicle available,1 vehicle available,2 vehicles available,3 or more vehicles available,Transportation_type
Census Tract 335,Riverdale/North Riverdale/Fieldston,15,234,42,0,drove_alone
Census Tract 336.01,Bronxdale,0,327,90,0,drove_alone
Census Tract 336.02,Bronxdale,20,92,0,0,drove_alone
Census Tract 337,Riverdale/North Riverdale/Fieldston,0,209,159,111,drove_alone
Census Tract 338.01,Bronxdale,2,153,0,26,drove_alone
Census Tract 338.02,Bronxdale,17,34,11,0,drove_alone
Census Tract 340,Bronxdale,62,398,242,28,drove_alone
Census Tract 342,Allerton/Pelham Gardens,17,83,88,38,drove_alone
Census Tract 343,Riverdale/North Riverdale/Fieldston,0,122,99,74,drove_alone
Census Tract 344,Allerton/Pelham Gardens,0,56,217,106,drove_alone
Census Tract 345,Riverdale/North Riverdale/Fieldston,50,298,364,0,drove_alone
Census Tract 348,Allerton/Pelham Gardens,20,217,290,457,drove_alone
Census Tract 350,Allerton/Pelham Gardens,0,268,174,119,drove_alone
Census Tract 351,Riverdale/North Riverdale/Fieldston,27,479,94,64,drove_alone
Census Tract 356,Eastchester,42,301,115,108,drove_alone
Census Tract 358,Eastchester,0,457,416,765,drove_alone
Census Tract 359,East Tremont,16,174,67,8,drove_alone
Census Tract 360,Allerton/Pelham Gardens,0,184,298,82,drove_alone
Census Tract 361,East Tremont,46,122,185,0,drove_alone
Census Tract 363,East Tremont,100,124,49,88,drove_alone
Census Tract 364,Eastchester,0,60,324,22,drove_alone
Census Tract 365.01,East Tremont,92,220,19,0,drove_alone
Census Tract 365.02,East Tremont,13,164,54,7,drove_alone
Census Tract 367,East Tremont,31,1,7,96,drove_alone
Census Tract 368,Williamsbridge/Olinville,32,89,194,0,drove_alone
Census Tract 369.01,East Tremont,6,90,40,34,drove_alone
Census Tract 369.02,East Tremont,21,99,18,0,drove_alone
Census Tract 370,Williamsbridge/Olinville,78,139,235,193,drove_alone
Census Tract 371,East Tremont,0,68,119,55,drove_alone
Census Tract 372,Williamsbridge/Olinville,23,225,74,96,drove_alone
Census Tract 373,East Tremont,41,288,235,0,drove_alone
Census Tract 374,Williamsbridge/Olinville,60,281,0,50,drove_alone
Census Tract 375.04,East Tremont,34,269,105,30,drove_alone
Census Tract 376,Williamsbridge/Olinville,0,152,123,14,drove_alone
Census Tract 378,Williamsbridge/Olinville,12,209,75,21,drove_alone
Census Tract 379,Mount Hope,54,273,18,30,drove_alone
Census Tract 380,Williamsbridge/Olinville,0,321,117,0,drove_alone
Census Tract 381,Mount Hope,102,229,0,48,drove_alone
Census Tract 382,Williamsbridge/Olinville,20,208,177,106,drove_alone
Census Tract 383.01,Fordham South,36,220,0,0,drove_alone
Census Tract 383.03,Fordham South,16,50,0,0,drove_alone
Census Tract 383.04,Fordham South,0,43,0,0,drove_alone
Census Tract 385,Claremont/Bathgate,43,190,0,0,drove_alone
Census Tract 386,Eastchester,287,734,439,249,drove_alone
Census Tract 387,Belmont,0,135,13,43,drove_alone
Census Tract 388,Williamsbridge/Olinville,34,188,162,35,drove_alone
Census Tract 389,Belmont,0,228,39,0,drove_alone
Census Tract 390,Williamsbridge/Olinville,65,86,32,60,drove_alone
Census Tract 391,Belmont,0,255,323,0,drove_alone
Census Tract 392,Williamsbridge/Olinville,9,115,45,57,drove_alone
Census Tract 393,Belmont,54,301,0,0,drove_alone
Census Tract 394,Williamsbridge/Olinville,22,270,114,35,drove_alone
Census Tract 395,Claremont/Bathgate,107,106,78,7,drove_alone
Census Tract 396,Williamsbridge/Olinville,99,204,120,2,drove_alone
Census Tract 397,Belmont,35,28,15,0,drove_alone
Census Tract 398,Williamsbridge/Olinville,65,365,363,135,drove_alone
Census Tract 399.01,Bedford Park,14,228,0,0,drove_alone
Census Tract 399.02,Bedford Park,47,148,45,0,drove_alone
Census Tract 401,Bedford Park,0,141,0,0,drove_alone
Census Tract 403.02,Bedford Park,24,135,55,0,drove_alone
Census Tract 403.03,Van Cortlandt Village,70,160,0,30,drove_alone
Census Tract 403.04,Van Cortlandt Village,22,116,0,0,drove_alone
Census Tract 404,Williamsbridge/Olinville,0,218,492,93,drove_alone
Census Tract 405.01,Bedford Park,43,111,20,0,drove_alone
Census Tract 405.02,Bedford Park,75,269,75,14,drove_alone
Census Tract 406,Williamsbridge/Olinville,15,228,89,177,drove_alone
Census Tract 407.01,Van Cortlandt Village,25,121,0,0,drove_alone
Census Tract 407.02,Bedford Park,11,323,56,0,drove_alone
Census Tract 408,Williamsbridge/Olinville,29,230,326,40,drove_alone
Census Tract 409,Van Cortlandt Village,15,153,56,0,drove_alone
Census Tract 411,Bedford Park,9,123,39,20,drove_alone
Census Tract 413,Bedford Park,11,380,249,18,drove_alone
Census Tract 414,Woodlawn/Wakefield,72,255,290,120,drove_alone
Census Tract 415,Bedford Park,0,251,0,0,drove_alone
Census Tract 418,Woodlawn/Wakefield,0,499,128,24,drove_alone
Census Tract 419,Norwood,113,501,93,0,drove_alone
Census Tract 420,Williamsbridge/Olinville,34,174,60,132,drove_alone
Census Tract 421,Norwood,83,124,100,0,drove_alone
Census Tract 422,Williamsbridge/Olinville,57,288,232,0,drove_alone
Census Tract 423,Norwood,43,247,91,23,drove_alone
Census Tract 424,Williamsbridge/Olinville,0,189,151,29,drove_alone
Census Tract 425,Norwood,22,292,173,37,drove_alone
Census Tract 426,Woodlawn/Wakefield,0,294,214,408,drove_alone
Census Tract 428,Woodlawn/Wakefield,5,96,69,64,drove_alone
Census Tract 429.01,Norwood,9,239,0,0,drove_alone
Census Tract 429.02,Norwood,83,247,10,0,drove_alone
Census Tract 430,Woodlawn/Wakefield,0,86,245,136,drove_alone
Census Tract 431.01,Norwood,12,242,219,0,drove_alone
Census Tract 431.02,Van Cortlandt Park,137,276,117,0,drove_alone
Census Tract 434,Woodlawn/Wakefield,166,307,329,194,drove_alone
Census Tract 435.01,Van Cortlandt Park,31,22,9,0,drove_alone
Census Tract 436,Woodlawn/Wakefield,0,127,143,146,drove_alone
Census Tract 442,Woodlawn/Wakefield,127,128,129,57,drove_alone
Census Tract 444,Woodlawn/Wakefield,91,106,402,65,drove_alone
Census Tract 448,Woodlawn/Wakefield,113,176,192,101,drove_alone
Census Tract 449.01,Woodlawn/Wakefield,10,180,93,177,drove_alone
Census Tract 449.02,Woodlawn/Wakefield,6,191,110,294,drove_alone
Census Tract 451.01,Woodlawn/Wakefield,7,110,141,0,drove_alone
Census Tract 451.02,Woodlawn/Wakefield,33,419,77,15,drove_alone
Census Tract 456,Eastchester,37,66,282,516,drove_alone
Census Tract 458,Eastchester,148,86,29,0,drove_alone
Census Tract 460,Eastchester,36,51,44,26,drove_alone
Census Tract 462.03,Co-Op City,0,361,107,0,drove_alone
Census Tract 462.04,Co-Op City,0,432,569,0,drove_alone
Census Tract 462.05,Co-Op City,0,227,0,0,drove_alone
Census Tract 462.06,Co-Op City,55,135,126,0,drove_alone
Census Tract 462.07,Co-Op City,0,501,200,0,drove_alone
Census Tract 462.08,Co-Op City,0,238,349,64,drove_alone
Census Tract 462.09,Co-Op City,0,177,260,73,drove_alone
Census Tract 484.01,Eastchester,0,462,472,16,drove_alone
Census Tract 516.01,City Island,15,466,190,378,drove_alone
Census Tract 1,Brooklyn Heights,0,83,46,0,drove_alone
Census Tract 2,Sunset Park West,0,53,34,7,drove_alone
Census Tract 3.01,Brooklyn Heights,34,24,0,0,drove_alone
Census Tract 5.01,Brooklyn Heights,6,126,0,0,drove_alone
Census Tract 5.02,Brooklyn Heights,27,58,11,0,drove_alone
Census Tract 7,Brooklyn Heights,13,30,20,0,drove_alone
Census Tract 9,Brooklyn Heights,0,81,17,0,drove_alone
Census Tract 11,Downtown Brooklyn/MetroTech,0,83,0,0,drove_alone
Census Tract 13,Downtown Brooklyn/MetroTech,0,74,8,7,drove_alone
Census Tract 15.01,Downtown Brooklyn/MetroTech,23,176,15,0,drove_alone
Census Tract 15.02,Downtown Brooklyn/MetroTech,0,55,0,0,drove_alone
Census Tract 20,Sunset Park West,50,34,32,0,drove_alone
Census Tract 21,DUMBO/Vinegar Hill,17,193,1,0,drove_alone
Census Tract 22,Sunset Park West,40,107,45,0,drove_alone
Census Tract 23,DUMBO/Vinegar Hill,27,80,0,0,drove_alone
Census Tract 29.01,Fort Greene,0,20,0,0,drove_alone
Census Tract 30,Bay Ridge,10,159,64,11,drove_alone
Census Tract 31.01,Fort Greene,15,179,15,0,drove_alone
Census Tract 33,Fort Greene,50,135,0,0,drove_alone
Census Tract 34,Bay Ridge,0,349,57,46,drove_alone
Census Tract 35,Fort Greene,6,55,0,26,drove_alone
Census Tract 36,Bay Ridge,0,304,44,0,drove_alone
Census Tract 37,Boerum Hill,0,53,0,0,drove_alone
Census Tract 38,Bay Ridge,0,115,100,17,drove_alone
Census Tract 39,Boerum Hill,0,41,0,0,drove_alone
Census Tract 41,Boerum Hill,0,87,75,0,drove_alone
Census Tract 43,Boerum Hill,0,95,0,0,drove_alone
Census Tract 44,Bay Ridge,0,71,141,40,drove_alone
Census Tract 45,Cobble Hill,7,59,11,0,drove_alone
Census Tract 46,Bay Ridge,0,12,66,58,drove_alone
Census Tract 47,Columbia Street,4,21,38,0,drove_alone
Census Tract 49,Cobble Hill,48,123,0,0,drove_alone
Census Tract 50,Bay Ridge,23,127,169,54,drove_alone
Census Tract 51,Columbia Street,37,117,26,0,drove_alone
Census Tract 52.01,Bay Ridge,0,87,94,0,drove_alone
Census Tract 52.02,Bay Ridge,9,242,27,49,drove_alone
Census Tract 53.01,Red Hook,22,83,197,0,drove_alone
Census Tract 53.02,Red Hook,0,0,4,0,drove_alone
Census Tract 54,Bay Ridge,11,124,124,0,drove_alone
Census Tract 56.01,Bay Ridge,202,175,74,91,drove_alone
Census Tract 56.02,Bay Ridge,23,203,69,0,drove_alone
Census Tract 58,Bay Ridge,10,236,143,0,drove_alone
Census Tract 59,Red Hook,0,154,0,0,drove_alone
Census Tract 60,Bay Ridge,12,96,39,19,drove_alone
Census Tract 62,Bay Ridge,7,144,36,33,drove_alone
Census Tract 63,Carroll Gardens,4,77,6,0,drove_alone
Census Tract 64,Bay Ridge,44,113,88,96,drove_alone
Census Tract 65,Carroll Gardens,0,180,0,0,drove_alone
Census Tract 66,Bay Ridge,2,172,75,6,drove_alone
Census Tract 67,Cobble Hill,17,112,12,0,drove_alone
Census Tract 68,Bay Ridge,33,188,140,48,drove_alone
Census Tract 69.01,Boerum Hill,0,138,11,0,drove_alone
Census Tract 69.02,Boerum Hill,0,48,8,0,drove_alone
Census Tract 70,Bay Ridge,0,228,31,0,drove_alone
Census Tract 71,Boerum Hill,0,114,131,0,drove_alone
Census Tract 72,Sunset Park West,57,64,0,0,drove_alone
Census Tract 74,Sunset Park West,32,250,14,0,drove_alone
Census Tract 75,Carroll Gardens,0,69,0,0,drove_alone
Census Tract 76,Sunset Park West,36,49,52,6,drove_alone
Census Tract 77,Carroll Gardens,7,63,0,0,drove_alone
Census Tract 78,Sunset Park West,121,148,36,0,drove_alone
Census Tract 80,Sunset Park West,120,148,70,0,drove_alone
Census Tract 82,Sunset Park West,12,97,26,0,drove_alone
Census Tract 84,Sunset Park West,17,203,17,0,drove_alone
Census Tract 85,Red Hook,0,270,0,0,drove_alone
Census Tract 88,Sunset Park East,11,27,8,0,drove_alone
Census Tract 90.01,Sunset Park East,0,55,0,0,drove_alone
Census Tract 90.02,Sunset Park East,20,34,44,0,drove_alone
Census Tract 92.01,Sunset Park East,34,106,36,0,drove_alone
Census Tract 92.02,Sunset Park East,71,44,11,0,drove_alone
Census Tract 94.01,Sunset Park East,97,71,14,0,drove_alone
Census Tract 94.02,Sunset Park East,90,76,59,0,drove_alone
Census Tract 96,Sunset Park East,41,179,168,11,drove_alone
Census Tract 98,Sunset Park East,93,93,162,36,drove_alone
Census Tract 100,Sunset Park East,40,180,12,9,drove_alone
Census Tract 101,Sunset Park West,0,460,89,0,drove_alone
Census Tract 102,Sunset Park East,0,188,20,0,drove_alone
Census Tract 104.01,Sunset Park East,11,32,12,0,drove_alone
Census Tract 104.02,Sunset Park East,9,0,8,0,drove_alone
Census Tract 106.01,Sunset Park East,87,122,0,0,drove_alone
Census Tract 106.02,Sunset Park East,0,16,0,18,drove_alone
Census Tract 108.01,Sunset Park East,22,126,56,0,drove_alone
Census Tract 108.02,Sunset Park East,0,106,9,0,drove_alone
