Geographic Area Name,Zone,"Earnings $1 to $9,999 or loss","Earnings $10,000 to $14,999","Earnings $15,000 to $24,999","Earnings $25,000 to $34,999","Earnings!!$35,000 to $49,999","Earnings $50,000 to $64,999","earnings $65,000 to $74,999","earnings $75,000 or more",Transportation_type
Census Tract 229.01,Mount Hope,0,10,68,42,133,70,18,18,drove_alone
Census Tract 229.02,Mount Hope,13,13,0,41,93,39,19,37,drove_alone
Census Tract 230,Van Nest/Morris Park,25,0,23,14,55,73,25,54,drove_alone
Census Tract 231,Mount Hope,14,0,12,29,42,70,0,0,drove_alone
Census Tract 232,Van Nest/Morris Park,25,0,15,67,47,25,0,70,drove_alone
Census Tract 233.01,Mount Hope,0,94,132,85,17,22,23,49,drove_alone
Census Tract 233.02,Mount Hope,0,0,1,48,35,28,0,0,drove_alone
Census Tract 235.01,Mount Hope,5,0,87,131,0,0,0,0,drove_alone
Census Tract 235.02,Mount Hope,0,0,51,35,110,16,0,11,drove_alone
Census Tract 236,Van Nest/Morris Park,0,0,11,114,78,0,0,24,drove_alone
Census Tract 237.02,Bedford Park,15,0,21,28,22,0,16,6,drove_alone
Census Tract 237.03,Fordham South,0,0,0,9,58,10,0,0,drove_alone
Census Tract 237.04,Fordham South,49,0,20,8,24,16,0,0,drove_alone
Census Tract 238,Van Nest/Morris Park,57,5,47,30,96,56,10,61,drove_alone
Census Tract 239,Fordham South,0,36,191,168,97,20,0,0,drove_alone
Census Tract 240,Van Nest/Morris Park,31,55,65,92,137,20,43,168,drove_alone
Census Tract 241,Mount Hope,20,26,100,127,41,0,33,60,drove_alone
Census Tract 243,University Heights/Morris Heights,0,0,33,128,37,13,0,46,drove_alone
Census Tract 244,Van Nest/Morris Park,22,56,76,44,39,142,0,160,drove_alone
Census Tract 245.01,University Heights/Morris Heights,11,57,111,176,11,91,0,32,drove_alone
Census Tract 245.02,University Heights/Morris Heights,0,80,87,153,94,55,72,55,drove_alone
Census Tract 246,Pelham Parkway,26,6,23,43,71,30,13,69,drove_alone
Census Tract 247,University Heights/Morris Heights,29,0,23,28,41,7,20,38,drove_alone
Census Tract 248,Pelham Parkway,43,82,0,11,31,69,19,114,drove_alone
Census Tract 250,Pelham Parkway,1,15,32,9,45,40,75,147,drove_alone
Census Tract 251,University Heights/Morris Heights,86,54,101,91,148,137,0,57,drove_alone
Census Tract 252,Van Nest/Morris Park,36,69,35,2,112,89,38,103,drove_alone
Census Tract 253,Kingsbridge Heights,16,14,51,10,170,29,46,0,drove_alone
Census Tract 254,Van Nest/Morris Park,22,9,10,24,46,55,25,110,drove_alone
Census Tract 255,Kingsbridge Heights,63,0,64,32,45,63,0,0,drove_alone
Census Tract 256,Van Nest/Morris Park,41,0,42,21,31,29,15,25,drove_alone
Census Tract 257,University Heights/Morris Heights,4,9,16,25,0,21,20,10,drove_alone
Census Tract 261,Kingsbridge Heights,0,7,28,0,4,0,28,83,drove_alone
Census Tract 263,Kingsbridge Heights,0,15,90,79,124,46,15,19,drove_alone
Census Tract 264,Schuylerville/Edgewater Park,20,189,365,191,74,231,35,568,drove_alone
Census Tract 265,Kingsbridge Heights,41,48,36,245,320,55,0,34,drove_alone
Census Tract 266.01,Pelham Bay,66,0,24,32,56,95,22,118,drove_alone
Census Tract 266.02,Pelham Bay,0,61,14,41,1,46,41,176,drove_alone
Census Tract 267.01,Van Cortlandt Village,0,14,50,2,16,2,23,4,drove_alone
Census Tract 267.02,Van Cortlandt Village,41,0,6,79,135,67,8,62,drove_alone
Census Tract 269,Kingsbridge Heights,84,0,43,49,77,0,87,26,drove_alone
Census Tract 273,Van Cortlandt Village,0,0,129,143,124,53,0,224,drove_alone
Census Tract 274.01,Country Club,12,108,77,83,164,177,74,521,drove_alone
Census Tract 274.02,Country Club,18,14,273,19,96,115,56,321,drove_alone
Census Tract 277,Van Cortlandt Village,0,43,40,0,96,183,0,0,drove_alone
Census Tract 279,Van Cortlandt Village,47,42,119,109,50,124,55,224,drove_alone
Census Tract 281,Van Cortlandt Village,51,35,54,44,20,68,7,150,drove_alone
Census Tract 283,Spuyten Duyvil/Kingsbridge,24,0,14,0,31,41,0,44,drove_alone
Census Tract 285,Spuyten Duyvil/Kingsbridge,280,13,16,48,63,32,66,207,drove_alone
Census Tract 286,Van Nest/Morris Park,26,5,6,73,0,19,38,93,drove_alone
Census Tract 287,Spuyten Duyvil/Kingsbridge,8,16,67,0,26,144,27,188,drove_alone
Census Tract 288,Pelham Parkway,0,188,106,73,53,28,99,161,drove_alone
Census Tract 289,Spuyten Duyvil/Kingsbridge,16,0,11,40,0,10,59,204,drove_alone
Census Tract 293.01,Spuyten Duyvil/Kingsbridge,21,0,19,24,16,22,5,209,drove_alone
Census Tract 293.02,Spuyten Duyvil/Kingsbridge,85,0,41,32,81,209,63,407,drove_alone
Census Tract 295,Spuyten Duyvil/Kingsbridge,0,0,71,77,134,12,80,216,drove_alone
Census Tract 296,Pelham Parkway,0,0,39,4,0,36,36,69,drove_alone
Census Tract 297,Spuyten Duyvil/Kingsbridge,0,0,48,7,25,35,35,286,drove_alone
Census Tract 300,Pelham Bay,39,18,39,61,268,229,252,302,drove_alone
Census Tract 301,Spuyten Duyvil/Kingsbridge,0,9,0,31,24,27,5,75,drove_alone
Census Tract 302.01,Co-Op City,20,0,0,34,107,19,84,192,drove_alone
Census Tract 302.02,Co-Op City,114,44,67,212,310,118,140,71,drove_alone
Census Tract 307.01,Riverdale/North Riverdale/Fieldston,88,5,50,0,35,159,111,592,drove_alone
Census Tract 309,Riverdale/North Riverdale/Fieldston,56,54,10,18,0,40,32,310,drove_alone
Census Tract 310,Allerton/Pelham Gardens,94,60,56,80,158,179,128,462,drove_alone
Census Tract 312,Allerton/Pelham Gardens,8,42,30,25,37,45,34,172,drove_alone
Census Tract 314,Allerton/Pelham Gardens,18,0,44,20,72,90,31,165,drove_alone
Census Tract 316,Allerton/Pelham Gardens,31,7,60,48,33,71,31,113,drove_alone
Census Tract 318,Allerton/Pelham Gardens,56,5,50,24,93,79,41,93,drove_alone
Census Tract 323,Riverdale/North Riverdale/Fieldston,63,0,11,107,18,41,69,232,drove_alone
Census Tract 324,Bronxdale,102,50,89,102,24,23,77,6,drove_alone
Census Tract 326,Allerton/Pelham Gardens,22,35,0,122,97,89,31,273,drove_alone
Census Tract 328,Bronxdale,8,6,16,20,15,84,39,129,drove_alone
Census Tract 330,Bronxdale,0,41,167,30,44,77,0,48,drove_alone
Census Tract 332.01,Bronxdale,0,0,46,29,0,96,46,148,drove_alone
Census Tract 332.02,Bronxdale,0,0,39,69,21,138,19,72,drove_alone
Census Tract 335,Riverdale/North Riverdale/Fieldston,44,5,5,58,19,11,0,149,drove_alone
Census Tract 336.01,Bronxdale,0,9,0,155,47,52,26,128,drove_alone
Census Tract 336.02,Bronxdale,0,0,0,0,24,53,19,16,drove_alone
Census Tract 337,Riverdale/North Riverdale/Fieldston,20,0,41,48,103,61,40,166,drove_alone
Census Tract 338.01,Bronxdale,0,22,17,28,37,0,21,56,drove_alone
Census Tract 338.02,Bronxdale,0,0,0,27,24,11,0,0,drove_alone
Census Tract 340,Bronxdale,19,35,62,124,138,70,88,194,drove_alone
Census Tract 342,Allerton/Pelham Gardens,0,0,21,0,76,28,0,101,drove_alone
Census Tract 343,Riverdale/North Riverdale/Fieldston,41,18,40,57,34,7,9,89,drove_alone
Census Tract 344,Allerton/Pelham Gardens,24,27,72,0,91,63,21,81,drove_alone
Census Tract 345,Riverdale/North Riverdale/Fieldston,4,0,33,0,29,179,44,423,drove_alone
Census Tract 348,Allerton/Pelham Gardens,84,0,68,0,150,298,99,285,drove_alone
Census Tract 350,Allerton/Pelham Gardens,47,52,48,56,147,101,11,99,drove_alone
Census Tract 351,Riverdale/North Riverdale/Fieldston,32,25,34,127,105,18,62,261,drove_alone
Census Tract 356,Eastchester,22,13,54,57,154,67,25,174,drove_alone
Census Tract 358,Eastchester,139,107,202,110,357,280,2,443,drove_alone
Census Tract 359,East Tremont,18,0,29,86,87,16,22,7,drove_alone
Census Tract 360,Allerton/Pelham Gardens,42,12,7,5,108,119,43,228,drove_alone
Census Tract 361,East Tremont,86,56,0,32,84,95,0,0,drove_alone
Census Tract 363,East Tremont,0,44,11,60,90,74,0,82,drove_alone
Census Tract 364,Eastchester,38,0,73,34,79,61,23,98,drove_alone
Census Tract 365.01,East Tremont,22,0,51,35,85,61,22,55,drove_alone
Census Tract 365.02,East Tremont,30,0,26,93,31,23,18,17,drove_alone
Census Tract 367,East Tremont,0,10,9,11,0,45,48,12,drove_alone
Census Tract 368,Williamsbridge/Olinville,0,0,0,59,44,75,42,95,drove_alone
Census Tract 369.01,East Tremont,10,21,32,21,19,54,13,0,drove_alone
Census Tract 369.02,East Tremont,38,0,0,15,20,10,55,0,drove_alone
Census Tract 370,Williamsbridge/Olinville,47,6,68,88,187,96,28,125,drove_alone
Census Tract 371,East Tremont,0,15,33,90,0,53,0,51,drove_alone
Census Tract 372,Williamsbridge/Olinville,19,9,39,66,69,85,26,105,drove_alone
Census Tract 373,East Tremont,84,7,61,0,129,69,79,135,drove_alone
Census Tract 374,Williamsbridge/Olinville,27,42,193,33,27,17,38,14,drove_alone
Census Tract 375.04,East Tremont,59,136,55,70,21,74,0,23,drove_alone
Census Tract 376,Williamsbridge/Olinville,22,23,34,0,71,102,0,37,drove_alone
Census Tract 378,Williamsbridge/Olinville,21,61,28,23,66,36,28,54,drove_alone
Census Tract 379,Mount Hope,10,0,66,21,127,59,29,63,drove_alone
Census Tract 380,Williamsbridge/Olinville,45,73,0,60,85,77,10,88,drove_alone
Census Tract 381,Mount Hope,27,0,123,53,102,20,0,54,drove_alone
Census Tract 382,Williamsbridge/Olinville,34,4,24,101,117,44,57,130,drove_alone
Census Tract 383.01,Fordham South,0,0,96,76,40,28,10,6,drove_alone
Census Tract 383.03,Fordham South,0,0,0,0,40,0,0,26,drove_alone
Census Tract 383.04,Fordham South,0,0,0,24,19,0,0,0,drove_alone
Census Tract 385,Claremont/Bathgate,0,0,0,36,90,0,0,107,drove_alone
Census Tract 386,Eastchester,56,109,555,123,389,208,24,242,drove_alone
Census Tract 387,Belmont,24,13,0,0,68,49,19,18,drove_alone
Census Tract 388,Williamsbridge/Olinville,67,0,30,65,43,29,37,148,drove_alone
Census Tract 389,Belmont,30,0,7,54,29,61,0,86,drove_alone
Census Tract 390,Williamsbridge/Olinville,6,10,5,59,78,47,0,38,drove_alone
Census Tract 391,Belmont,0,0,123,89,103,115,18,130,drove_alone
Census Tract 392,Williamsbridge/Olinville,6,0,0,20,100,13,20,67,drove_alone
Census Tract 393,Belmont,0,36,107,45,149,18,0,0,drove_alone
Census Tract 394,Williamsbridge/Olinville,0,0,136,57,60,117,25,46,drove_alone
Census Tract 395,Claremont/Bathgate,49,0,26,0,115,76,0,32,drove_alone
Census Tract 396,Williamsbridge/Olinville,17,39,22,39,131,92,16,69,drove_alone
Census Tract 397,Belmont,33,0,0,7,25,1,0,12,drove_alone
Census Tract 398,Williamsbridge/Olinville,119,23,121,144,167,131,57,166,drove_alone
Census Tract 399.01,Bedford Park,53,45,63,0,5,19,5,52,drove_alone
Census Tract 399.02,Bedford Park,30,7,11,32,96,35,8,21,drove_alone
Census Tract 401,Bedford Park,12,13,0,17,16,17,0,66,drove_alone
Census Tract 403.02,Bedford Park,10,0,54,46,83,8,0,13,drove_alone
Census Tract 403.03,Van Cortlandt Village,11,11,42,53,43,20,16,64,drove_alone
Census Tract 403.04,Van Cortlandt Village,14,30,18,8,0,46,0,22,drove_alone
Census Tract 404,Williamsbridge/Olinville,13,0,32,120,87,314,0,237,drove_alone
Census Tract 405.01,Bedford Park,0,0,0,10,81,10,47,26,drove_alone
Census Tract 405.02,Bedford Park,16,18,197,53,44,94,0,11,drove_alone
Census Tract 406,Williamsbridge/Olinville,40,0,0,49,109,192,76,43,drove_alone
Census Tract 407.01,Van Cortlandt Village,0,14,0,27,31,23,18,33,drove_alone
Census Tract 407.02,Bedford Park,0,0,56,121,85,104,24,0,drove_alone
Census Tract 408,Williamsbridge/Olinville,55,86,86,104,109,103,23,59,drove_alone
Census Tract 409,Van Cortlandt Village,0,0,12,66,54,21,10,61,drove_alone
Census Tract 411,Bedford Park,5,0,88,8,34,8,0,48,drove_alone
Census Tract 413,Bedford Park,126,68,45,117,54,70,36,142,drove_alone
Census Tract 414,Woodlawn/Wakefield,87,5,312,46,74,61,0,152,drove_alone
Census Tract 415,Bedford Park,0,11,84,0,33,32,49,42,drove_alone
Census Tract 418,Woodlawn/Wakefield,34,0,84,39,131,139,0,224,drove_alone
Census Tract 419,Norwood,39,135,0,121,173,64,71,104,drove_alone
Census Tract 420,Williamsbridge/Olinville,0,0,70,61,123,60,35,51,drove_alone
Census Tract 421,Norwood,0,0,18,125,0,63,87,14,drove_alone
Census Tract 422,Williamsbridge/Olinville,19,31,33,104,253,41,12,84,drove_alone
Census Tract 423,Norwood,13,22,37,66,123,67,0,76,drove_alone
Census Tract 424,Williamsbridge/Olinville,31,15,16,30,115,19,35,108,drove_alone
Census Tract 425,Norwood,10,133,175,14,81,22,53,36,drove_alone
Census Tract 426,Woodlawn/Wakefield,27,142,93,0,112,89,118,335,drove_alone
Census Tract 428,Woodlawn/Wakefield,33,6,29,38,33,10,19,66,drove_alone
Census Tract 429.01,Norwood,10,0,0,55,14,9,0,160,drove_alone
Census Tract 429.02,Norwood,0,0,62,0,92,28,6,152,drove_alone
Census Tract 430,Woodlawn/Wakefield,58,33,63,47,84,82,13,87,drove_alone
Census Tract 431.01,Norwood,0,86,12,179,13,150,17,16,drove_alone
Census Tract 431.02,Van Cortlandt Park,0,0,77,79,17,147,161,49,drove_alone
Census Tract 434,Woodlawn/Wakefield,0,43,83,201,310,62,59,238,drove_alone
Census Tract 435.01,Van Cortlandt Park,0,0,0,0,22,9,0,31,drove_alone
Census Tract 436,Woodlawn/Wakefield,35,10,10,37,178,45,22,79,drove_alone
Census Tract 442,Woodlawn/Wakefield,96,0,31,135,0,37,0,142,drove_alone
Census Tract 444,Woodlawn/Wakefield,10,72,27,98,76,162,86,134,drove_alone
Census Tract 448,Woodlawn/Wakefield,12,53,0,83,67,118,35,214,drove_alone
Census Tract 449.01,Woodlawn/Wakefield,13,0,6,31,119,21,17,253,drove_alone
Census Tract 449.02,Woodlawn/Wakefield,41,7,48,43,60,191,82,129,drove_alone
Census Tract 451.01,Woodlawn/Wakefield,0,0,0,31,22,81,6,118,drove_alone
Census Tract 451.02,Woodlawn/Wakefield,5,97,18,18,27,47,162,170,drove_alone
Census Tract 456,Eastchester,76,26,37,100,109,127,88,338,drove_alone
